"","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE.x","CATEGORY","RATE","CLASS"
"1","0018DcICL18",10691234,108,310,34487.8516129032,"Music",4,"1"
"2","00cdvUbRNio",14812021,1371,364,40692.3653846154,"Film & Animation",4.7,"1"
"3","00Fp9mPDc70",7528777,680,207,36370.9033816425,"Gadgets & Games",4,"1"
"4","00H7cH8y1g0",3632155,1246,131,27726.3740458015,"News & Politics",4.39,"1"
"5","00ieL1lSulU",7236831,11136,184,39330.6032608696,"Sports",4.38,"1"
"6","00-jcFBUlK4",3808872,1734,89,42796.3146067416,"Entertainment",3.12,"2"
"7","010ucHVYb6s",6489713,414,157,41335.7515923567,"News & Politics",5,"1"
"8","01FsIe5jAAw",54588649,2612,1321,41323.7312641938,"Howto & DIY",5,"1"
"9","01Q0O8UkVls",18150478,12924,437,41534.2745995423,"Howto & DIY",3.36,"2"
"10","_01QBRLNs4Q",16364742,5898,396,41325.1060606061,"Travel & Places",4.77,"1"
"11","0-1sNgnBgkw",6828780,4594,166,41137.2289156627,"Gadgets & Games",4.83,"1"
"12","02assRuBmdc",14099920,1872,343,41107.638483965,"Entertainment",0,"5"
"13","02eghIfyHP0",5623296,131842,136,41347.7647058823,"Autos & Vehicles",4.41,"1"
"14","037HvQ1TyGM",15756402,145137,381,41355.3858267717,"News & Politics",2.71,"3"
"15","03CilCApoOU",19509669,7431,471,41421.8025477707,"Gadgets & Games",4.11,"1"
"16","03sQHrYp1tY",4914895,3010,124,39636.25,"Entertainment",4.94,"1"
"17","03zFTTqHScI",6937135,29028,168,41292.4702380952,"News & Politics",4.57,"1"
"18","04cps_brPEQ",24340560,5649,598,40703.2775919732,"Comedy",4.85,"1"
"19","04WfppZx8Ro",9091573,5028,217,41896.6497695853,"Music",4.31,"1"
"20","0-5akukx5dw",3284195,131,99,33173.6868686869,"Howto & DIY",5,"1"
"21","05LRRH9OLR0",8055955,1139,195,41312.5897435897,"Music",4.57,"1"
"22","05p8aJXX3YA",21753927,221,605,35956.9041322314,"Howto & DIY",5,"1"
"23","05U9L7Nldtc",12140001,872,300,40466.67,"Music",4.91,"1"
"24","05zhL1YUd8Q",13967567,16559,344,40603.3924418605,"Comedy",4.63,"1"
"25","063cBQZj5PY",5485380,215,131,41873.1297709924,"Comedy",5,"1"
"26","06D_EFNGmOQ",10304517,68880,247,41718.6923076923,"Music",4.73,"1"
"27","06nmfniiEGI",4615423,3642,167,27637.2634730539,"Music",5,"1"
"28","07ej4zNlhpU",4620341,16213,109,42388.4495412844,"Comedy",4.94,"1"
"29","07iqd_e6R-I",82678304,4680,2297,35994.0374401393,"Gadgets & Games",4.38,"1"
"30","07mSHsAuEcA",13133885,1962,319,41172.0532915361,"Music",5,"1"
"31","07ULXNzP_Ys",3730247,199,81,46052.4320987654,"News & Politics",3.4,"2"
"32","07U_uKGfv48",11294681,160110,273,41372.4578754579,"Music",4.9,"1"
"33","07W7-4Meffo",15263192,225959,373,40920.0857908847,"Comedy",4.69,"1"
"34","087pjPX3z_8",10028794,1768,240,41786.6416666667,"Music",5,"1"
"35","087t0IMxUdQ",2895161,4811,70,41359.4428571429,"People & Blogs",4.32,"1"
"36","08BqaSuEE_w",8088714,13344,195,41480.5846153846,"Comedy",4.8,"1"
"37","08i7EGXIJz4",9954099,7546,249,39976.3012048193,"Music",4.92,"1"
"38","08nxKViy8PU",13796231,12003,207,66648.4589371981,"Comedy",3.68,"2"
"39","08R8tgvXa7o",10022708,40420,241,41588,"Film & Animation",4.83,"1"
"40","08va1i6LYPc",10269560,46313,251,40914.5816733068,"News & Politics",4.2,"1"
"41","091ugdiojEM",4759481,137019,118,40334.5847457627,"Howto & DIY",4.61,"1"
"42","098sM93EXtQ",919864,123,26,35379.3846153846,"Film & Animation",5,"1"
"43","09BE_b4VEUo",2959347,1342,198,14946.196969697,"Music",3,"2"
"44","09PsIC-l19w",18990039,1957,462,41103.9805194805,"People & Blogs",4.11,"1"
"45","0A4OG-BS_P4",8083824,27275,208,38864.5384615385,"Music",4.8,"1"
"46","0A9tx-p0Kr0",24699561,14332,598,41303.6137123746,"Autos & Vehicles",4.4,"1"
"47","0aAoSkV5Kc4",1048559,19468,26,40329.1923076923,"Gadgets & Games",4.05,"1"
"48","0AMV7KphclI",4226600,488,102,41437.2549019608,"Entertainment",0,"5"
"49","0aomz-1STsA",15991469,5524,402,39779.7736318408,"Comedy",4.81,"1"
"50","0Ar8PfALDrI",13704351,143,330,41528.3363636364,"Gadgets & Games",5,"1"
